Fecha;Año;Mes;Cliente;País;Producto;Valor;MétodoDePago
2/1/2019;2019;ene;Laura Ramirez;México;Producto A;500,00 €;Transferencia bancaria
2/1/2019;2019;ene;Laura Mendez;Chile;Producto A;500,00 €;Tarjeta de débito
2/1/2019;2019;ene;Laura Bravo;Colombia;Producto D;600,00 €;Tarjeta de crédito
2/1/2019;2019;ene;Laura Rojas;México;Producto A;500,00 €;Tarjeta de débito
2/1/2019;2019;ene;Marta Crespo;Argentina;Producto A;500,00 €;Tarjeta de débito
2/1/2019;2019;ene;Marta Roldan;España;Producto B;350,00 €;Transferencia bancaria
3/1/2019;2019;ene;Carlos Sanchez;Colombia;Producto B;350,00 €;Transferencia bancaria
3/1/2019;2019;ene;Carlos Blanco;Argentina;Producto A;500,00 €;Transferencia bancaria
3/1/2019;2019;ene;Carlos Rubio;México;Producto A;500,00 €;Tarjeta de débito
3/1/2019;2019;ene;Carlos Palacios;Colombia;Producto A;500,00 €;Tarjeta de crédito
3/1/2019;2019;ene;Elena Roldan;España;Producto D;600,00 €;Tarjeta de crédito
3/1/2019;2019;ene;Miguel Serrano;Argentina;Producto B;350,00 €;Tarjeta de débito
3/1/2019;2019;ene;Miguel Vega;Colombia;Producto C;200,00 €;Transferencia bancaria
3/1/2019;2019;ene;Carmen Ruiz;México;Producto D;600,00 €;Tarjeta de débito
3/1/2019;2019;ene;Carmen Rojas;Colombia;Producto B;350,00 €;Tarjeta de crédito
4/1/2019;2019;ene;Jorge Moreno;Argentina;Producto B;350,00 €;Transferencia bancaria
4/1/2019;2019;ene;Jorge Aguilar;España;Producto D;600,00 €;Tarjeta de débito
4/1/2019;2019;ene;Andres Rios;México;Producto C;200,00 €;Tarjeta de crédito
4/1/2019;2019;ene;Andres Montes;Chile;Producto D;600,00 €;Transferencia bancaria
4/1/2019;2019;ene;Isabel Leon;España;Producto B;350,00 €;Tarjeta de débito
4/1/2019;2019;ene;Isabel Pascual;España;Producto B;350,00 €;Transferencia bancaria
4/1/2019;2019;ene;Roberto Gonzalez;Colombia;Producto D;600,00 €;Transferencia bancaria
4/1/2019;2019;ene;Roberto Ortiz;México;Producto B;350,00 €;Transferencia bancaria
4/1/2019;2019;ene;Sofia Muñoz;Argentina;Producto D;600,00 €;Transferencia bancaria
4/1/2019;2019;ene;Sofia Garrido;Chile;Producto C;200,00 €;Transferencia bancaria
5/1/2019;2019;ene;Sofia Soler;Colombia;Producto C;200,00 €;Transferencia bancaria
5/1/2019;2019;ene;Sofia Bernal;México;Producto A;500,00 €;Transferencia bancaria
5/1/2019;2019;ene;Fernando Fernandez;Argentina;Producto A;500,00 €;Tarjeta de débito
5/1/2019;2019;ene;Fernando Serrano;España;Producto B;350,00 €;Tarjeta de débito
5/1/2019;2019;ene;Fernando Carrasco;Colombia;Producto D;600,00 €;Tarjeta de débito
5/1/2019;2019;ene;Fernando Mariscal;Argentina;Producto C;200,00 €;Tarjeta de débito
5/1/2019;2019;ene;Fernando Oliva;México;Producto D;600,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Paula Moreno;Colombia;Producto C;200,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Paula Gutierrez;España;Producto C;200,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Paula Cruz;Argentina;Producto D;600,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Sergio Ortiz;Colombia;Producto B;350,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Sergio Mora;México;Producto D;600,00 €;Transferencia bancaria
5/1/2019;2019;ene;Sergio Santiago;Colombia;Producto B;350,00 €;Transferencia bancaria
5/1/2019;2019;ene;Sergio Villanueva;Argentina;Producto B;350,00 €;Tarjeta de crédito
5/1/2019;2019;ene;Sara Franco;España;Producto B;350,00 €;Transferencia bancaria
5/1/2019;2019;ene;David Diaz;México;Producto D;600,00 €;Tarjeta de débito
5/1/2019;2019;ene;David Soler;Chile;Producto A;500,00 €;Tarjeta de crédito
5/1/2019;2019;ene;David Tejada;España;Producto B;350,00 €;Tarjeta de débito
5/1/2019;2019;ene;Patricia Delgado;España;Producto B;350,00 €;Tarjeta de débito
6/1/2019;2019;ene;Manuel Palacios;Colombia;Producto C;200,00 €;Tarjeta de crédito
6/1/2019;2019;ene;Cristina Suarez;México;Producto C;200,00 €;Tarjeta de crédito
6/1/2019;2019;ene;Cristina Leon;Chile;Producto C;200,00 €;Transferencia bancaria
6/1/2019;2019;ene;Cristina Solis;Colombia;Producto B;350,00 €;Transferencia bancaria
6/1/2019;2019;ene;Alberto Flores;México;Producto D;600,00 €;Tarjeta de débito
6/1/2019;2019;ene;Alberto Rios;Argentina;Producto D;600,00 €;Tarjeta de débito
6/1/2019;2019;ene;Alberto Bautista;España;Producto B;350,00 €;Transferencia bancaria
6/1/2019;2019;ene;Claudia Moya;Colombia;Producto D;600,00 €;Tarjeta de crédito
6/1/2019;2019;ene;Daniel Castillo;Argentina;Producto A;500,00 €;Tarjeta de débito
6/1/2019;2019;ene;Rosa Moreno;México;Producto D;600,00 €;Tarjeta de débito
6/1/2019;2019;ene;Vicente Castro;Colombia;Producto A;500,00 €;Tarjeta de débito
6/1/2019;2019;ene;Vicente Mariscal;España;Producto C;200,00 €;Transferencia bancaria
7/1/2019;2019;ene;Juan Ruiz;Argentina;Producto C;200,00 €;Transferencia bancaria
7/1/2019;2019;ene;Pilar Herrero;Colombia;Producto C;200,00 €;Tarjeta de crédito
7/1/2019;2019;ene;Ricardo Blasco;México;Producto A;500,00 €;Transferencia bancaria
7/1/2019;2019;ene;Gloria Fernandez;Colombia;Producto A;500,00 €;Tarjeta de crédito
7/1/2019;2019;ene;Gloria Bautista;Argentina;Producto B;350,00 €;Transferencia bancaria
7/1/2019;2019;ene;Alfonso Gonzalez;España;Producto B;350,00 €;Transferencia bancaria
7/1/2019;2019;ene;Teresa Bautista;México;Producto C;200,00 €;Tarjeta de crédito
7/1/2019;2019;ene;Victoria Cortes;Chile;Producto A;500,00 €;Tarjeta de débito
7/1/2019;2019;ene;Javier Lopez;España;Producto D;600,00 €;Transferencia bancaria
7/1/2019;2019;ene;Rocio Marin;España;Producto A;500,00 €;Tarjeta de débito
8/1/2019;2019;ene;Rocio Cano;Colombia;Producto B;350,00 €;Transferencia bancaria
8/1/2019;2019;ene;Rocio Gallego;México;Producto B;350,00 €;Tarjeta de débito
8/1/2019;2019;ene;Rocio Parra;Chile;Producto B;350,00 €;Transferencia bancaria
8/1/2019;2019;ene;Hugo Carrasco;Colombia;Producto D;600,00 €;Tarjeta de crédito
8/1/2019;2019;ene;Hugo Hidalgo;México;Producto D;600,00 €;Tarjeta de crédito
8/1/2019;2019;ene;Hugo Redondo;Argentina;Producto A;500,00 €;Tarjeta de débito
8/1/2019;2019;ene;Alicia Caballero;España;Producto A;500,00 €;Transferencia bancaria
8/1/2019;2019;ene;Alicia Ibañez;Colombia;Producto C;200,00 €;Transferencia bancaria
8/1/2019;2019;ene;Ramon Vega;Argentina;Producto D;600,00 €;Tarjeta de crédito
9/1/2019;2019;ene;Ramon Ibañez;México;Producto A;500,00 €;Tarjeta de crédito
9/1/2019;2019;ene;Ramon Galvez;Colombia;Producto C;200,00 €;Tarjeta de débito
9/1/2019;2019;ene;Natalia Castro;España;Producto D;600,00 €;Transferencia bancaria
9/1/2019;2019;ene;Emilio Prieto;Argentina;Producto A;500,00 €;Tarjeta de débito
9/1/2019;2019;ene;Emilio Bermudez;Colombia;Producto B;350,00 €;Transferencia bancaria
9/1/2019;2019;ene;Veronica Muñoz;México;Producto B;350,00 €;Transferencia bancaria
9/1/2019;2019;ene;Veronica Torres;Colombia;Producto B;350,00 €;Tarjeta de débito
9/1/2019;2019;ene;Veronica Cano;Argentina;Producto D;600,00 €;Tarjeta de crédito
9/1/2019;2019;ene;Veronica Benitez;España;Producto C;200,00 €;Tarjeta de crédito
9/1/2019;2019;ene;Veronica Saenz;México;Producto A;500,00 €;Tarjeta de débito
9/1/2019;2019;ene;Veronica Blasco;Chile;Producto A;500,00 €;Transferencia bancaria
9/1/2019;2019;ene;Ivan Perez;España;Producto B;350,00 €;Tarjeta de débito
10/1/2019;2019;ene;Ivan Rubio;España;Producto B;350,00 €;Tarjeta de débito
10/1/2019;2019;ene;Ivan Aguilar;Colombia;Producto C;200,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Ivan Montes;México;Producto D;600,00 €;Tarjeta de débito
10/1/2019;2019;ene;Ivan Oliva;Chile;Producto C;200,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Beatriz Gutierrez;Colombia;Producto A;500,00 €;Transferencia bancaria
10/1/2019;2019;ene;Beatriz Ramos;México;Producto D;600,00 €;Tarjeta de débito
10/1/2019;2019;ene;Gonzalo Ramirez;Argentina;Producto A;500,00 €;Tarjeta de débito
10/1/2019;2019;ene;Gonzalo Galvez;España;Producto B;350,00 €;Transferencia bancaria
10/1/2019;2019;ene;Raquel Oliva;Colombia;Producto B;350,00 €;Transferencia bancaria
10/1/2019;2019;ene;Francisco Martin;Argentina;Producto D;600,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Francisco Medina;México;Producto C;200,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Francisco Pacheco;Colombia;Producto C;200,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Lorena Sanchez;España;Producto A;500,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Lorena Navarro;Argentina;Producto B;350,00 €;Tarjeta de crédito
10/1/2019;2019;ene;Lorena Vega;Colombia;Producto D;600,00 €;Transferencia bancaria
11/1/2019;2019;ene;Pablo Cano;México;Producto A;500,00 €;Tarjeta de débito
11/1/2019;2019;ene;Pablo Soria;Colombia;Producto B;350,00 €;Tarjeta de débito
11/1/2019;2019;ene;Monica Izquierdo;Argentina;Producto A;500,00 €;Transferencia bancaria
11/1/2019;2019;ene;alvaro Garrido;España;Producto A;500,00 €;Tarjeta de crédito
11/1/2019;2019;ene;Cecilia Lopez;México;Producto B;350,00 €;Transferencia bancaria
11/1/2019;2019;ene;Cecilia Esteban;Chile;Producto D;600,00 €;Tarjeta de crédito
11/1/2019;2019;ene;Enrique Rodriguez;España;Producto A;500,00 €;Transferencia bancaria
11/1/2019;2019;ene;Enrique Molina;España;Producto C;200,00 €;Tarjeta de crédito
11/1/2019;2019;ene;Enrique Cruz;Colombia;Producto B;350,00 €;Tarjeta de crédito
11/1/2019;2019;ene;Adriana Reyes;México;Producto D;600,00 €;Tarjeta de débito
11/1/2019;2019;ene;Adriana Bermudez;Chile;Producto D;600,00 €;Tarjeta de crédito
11/1/2019;2019;ene;Adriana Saenz;Colombia;Producto A;500,00 €;Tarjeta de débito
11/1/2019;2019;ene;Julio Gallego;México;Producto C;200,00 €;Tarjeta de débito
11/1/2019;2019;ene;Julio Solis;Argentina;Producto B;350,00 €;Tarjeta de débito
12/1/2019;2019;ene;Julio Montes;España;Producto D;600,00 €;Tarjeta de crédito
12/1/2019;2019;ene;Silvia Valero;Colombia;Producto D;600,00 €;Transferencia bancaria
12/1/2019;2019;ene;Martin Iglesias;Argentina;Producto D;600,00 €;Tarjeta de crédito
12/1/2019;2019;ene;Martin Diez;México;Producto D;600,00 €;Tarjeta de crédito
12/1/2019;2019;ene;Martin Saenz;Colombia;Producto D;600,00 €;Tarjeta de crédito
12/1/2019;2019;ene;Gabriela Medina;España;Producto D;600,00 €;Tarjeta de débito
12/1/2019;2019;ene;Gabriela Reyes;Argentina;Producto C;200,00 €;Tarjeta de débito
12/1/2019;2019;ene;Gabriela Bernal;Colombia;Producto D;600,00 €;Tarjeta de débito
13/1/2019;2019;ene;oscar Cruz;México;Producto D;600,00 €;Transferencia bancaria
13/1/2019;2019;ene;oscar Oliva;Colombia;Producto A;500,00 €;Transferencia bancaria
13/1/2019;2019;ene;Marina Alonso;Argentina;Producto C;200,00 €;Tarjeta de crédito
13/1/2019;2019;ene;Marina Ramirez;España;Producto D;600,00 €;Tarjeta de crédito
13/1/2019;2019;ene;Marina Tejada;México;Producto C;200,00 €;Tarjeta de débito
13/1/2019;2019;ene;Esteban Torres;Chile;Producto B;350,00 €;Transferencia bancaria
13/1/2019;2019;ene;Esteban Moya;España;Producto A;500,00 €;Tarjeta de débito
13/1/2019;2019;ene;Esteban Montes;España;Producto D;600,00 €;Tarjeta de crédito
13/1/2019;2019;ene;Irene Garcia;Colombia;Producto B;350,00 €;Transferencia bancaria
13/1/2019;2019;ene;Irene Dominguez;México;Producto D;600,00 €;Tarjeta de crédito
13/1/2019;2019;ene;Irene Hidalgo;Chile;Producto D;600,00 €;Tarjeta de débito
13/1/2019;2019;ene;Irene Cuesta;Colombia;Producto A;500,00 €;Tarjeta de débito
14/1/2019;2019;ene;Fabian Ortiz;México;Producto D;600,00 €;Tarjeta de crédito
14/1/2019;2019;ene;Fabian Roldan;Argentina;Producto A;500,00 €;Tarjeta de débito
14/1/2019;2019;ene;Valentina Rodriguez;España;Producto A;500,00 €;Tarjeta de débito
14/1/2019;2019;ene;Valentina Ramirez;Colombia;Producto C;200,00 €;Transferencia bancaria
14/1/2019;2019;ene;Valentina Escudero;Argentina;Producto B;350,00 €;Transferencia bancaria
14/1/2019;2019;ene;Tomas Lopez;México;Producto B;350,00 €;Tarjeta de débito
15/1/2019;2019;ene;Tomas Serrano;Colombia;Producto D;600,00 €;Transferencia bancaria
15/1/2019;2019;ene;Tomas Mariscal;España;Producto C;200,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Tomas Franco;Argentina;Producto D;600,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Emilia Peña;Colombia;Producto D;600,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Emilia Gallego;México;Producto C;200,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Emilia Saez;Colombia;Producto D;600,00 €;Tarjeta de débito
15/1/2019;2019;ene;Emilia Palacios;Argentina;Producto A;500,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Cristian Vazquez;España;Producto B;350,00 €;Tarjeta de débito
15/1/2019;2019;ene;Daniela Nuñez;México;Producto D;600,00 €;Tarjeta de crédito
15/1/2019;2019;ene;Daniela Soria;Chile;Producto C;200,00 €;Tarjeta de crédito
16/1/2019;2019;ene;Daniela Tejada;España;Producto C;200,00 €;Tarjeta de débito
16/1/2019;2019;ene;Marcos Esteban;España;Producto C;200,00 €;Tarjeta de débito
16/1/2019;2019;ene;Julieta Garrido;Colombia;Producto C;200,00 €;Tarjeta de crédito
16/1/2019;2019;ene;Julieta Cuesta;México;Producto C;200,00 €;Transferencia bancaria
16/1/2019;2019;ene;Melina Leon;Chile;Producto B;350,00 €;Tarjeta de crédito
16/1/2019;2019;ene;Melina Moya;Colombia;Producto B;350,00 €;Transferencia bancaria
16/1/2019;2019;ene;Melina Soler;México;Producto B;350,00 €;Transferencia bancaria
16/1/2019;2019;ene;Adrian Gutierrez;Argentina;Producto C;200,00 €;Tarjeta de crédito
16/1/2019;2019;ene;Adrian Caballero;España;Producto A;500,00 €;Transferencia bancaria
16/1/2019;2019;ene;Adrian Rosales;Colombia;Producto A;500,00 €;Transferencia bancaria
16/1/2019;2019;ene;Adrian Pacheco;Argentina;Producto B;350,00 €;Transferencia bancaria
16/1/2019;2019;ene;Adrian Redondo;México;Producto B;350,00 €;Tarjeta de débito
17/1/2019;2019;ene;Noelia Mariscal;Colombia;Producto A;500,00 €;Transferencia bancaria
17/1/2019;2019;ene;Amanda Mora;España;Producto B;350,00 €;Transferencia bancaria
17/1/2019;2019;ene;Amanda Cuesta;Argentina;Producto A;500,00 €;Transferencia bancaria
17/1/2019;2019;ene;Felix Torres;Colombia;Producto A;500,00 €;Transferencia bancaria
17/1/2019;2019;ene;Felix Santana;México;Producto B;350,00 €;Transferencia bancaria
17/1/2019;2019;ene;Jimena Serrano;Colombia;Producto D;600,00 €;Tarjeta de crédito
17/1/2019;2019;ene;Jimena Galvez;Argentina;Producto B;350,00 €;Tarjeta de débito
17/1/2019;2019;ene;Jimena Moya;España;Producto C;200,00 €;Tarjeta de débito
17/1/2019;2019;ene;Jimena Blasco;México;Producto D;600,00 €;Transferencia bancaria
17/1/2019;2019;ene;Nicolas Serrano;Chile;Producto D;600,00 €;Tarjeta de crédito
18/1/2019;2019;ene;Nicolas Castro;España;Producto C;200,00 €;Tarjeta de crédito
18/1/2019;2019;ene;Nicolas Flores;España;Producto C;200,00 €;Tarjeta de débito
18/1/2019;2019;ene;Nicolas Carrasco;Colombia;Producto D;600,00 €;Tarjeta de crédito
18/1/2019;2019;ene;Nicolas Mariscal;México;Producto A;500,00 €;Transferencia bancaria
18/1/2019;2019;ene;Bianca Gomez;Chile;Producto A;500,00 €;Transferencia bancaria
18/1/2019;2019;ene;Mauricio Muñoz;Colombia;Producto C;200,00 €;Transferencia bancaria
18/1/2019;2019;ene;Mauricio Mora;México;Producto C;200,00 €;Tarjeta de débito
18/1/2019;2019;ene;Florencia Aguilar;Argentina;Producto D;600,00 €;Tarjeta de crédito
18/1/2019;2019;ene;Florencia Villanueva;España;Producto A;500,00 €;Tarjeta de crédito
18/1/2019;2019;ene;Sebastian Roldan;Colombia;Producto D;600,00 €;Transferencia bancaria
18/1/2019;2019;ene;Renata Lopez;Argentina;Producto C;200,00 €;Tarjeta de débito
18/1/2019;2019;ene;Renata Moreno;México;Producto A;500,00 €;Transferencia bancaria
18/1/2019;2019;ene;Renata Esteban;Colombia;Producto C;200,00 €;Transferencia bancaria
19/1/2019;2019;ene;Joaquin Ruiz;España;Producto D;600,00 €;Tarjeta de débito
19/1/2019;2019;ene;Joaquin Caballero;Argentina;Producto B;350,00 €;Transferencia bancaria
19/1/2019;2019;ene;Lourdes Romero;Colombia;Producto A;500,00 €;Tarjeta de débito
19/1/2019;2019;ene;Lourdes Oliva;México;Producto B;350,00 €;Tarjeta de crédito
19/1/2019;2019;ene;Damian Delgado;Colombia;Producto D;600,00 €;Tarjeta de crédito
19/1/2019;2019;ene;Carolina Santiago;Argentina;Producto B;350,00 €;Transferencia bancaria
19/1/2019;2019;ene;Carolina Ibañez;España;Producto A;500,00 €;Transferencia bancaria
19/1/2019;2019;ene;Carolina Rojas;México;Producto C;200,00 €;Tarjeta de débito
19/1/2019;2019;ene;Carolina Laguna;Chile;Producto C;200,00 €;Transferencia bancaria
19/1/2019;2019;ene;Olga Diaz;España;Producto D;600,00 €;Transferencia bancaria
19/1/2019;2019;ene;Olga Mendez;España;Producto C;200,00 €;Transferencia bancaria
19/1/2019;2019;ene;Olga Soria;Colombia;Producto B;350,00 €;Transferencia bancaria
19/1/2019;2019;ene;Valeria Saez;México;Producto B;350,00 €;Transferencia bancaria
19/1/2019;2019;ene;Valeria Crespo;Argentina;Producto A;500,00 €;Tarjeta de débito
19/1/2019;2019;ene;Rodrigo Santana;Chile;Producto C;200,00 €;Tarjeta de crédito
19/1/2019;2019;ene;Rodrigo Bautista;Colombia;Producto D;600,00 €;Tarjeta de débito
19/1/2019;2019;ene;Ainhoa Vazquez;México;Producto C;200,00 €;Transferencia bancaria
19/1/2019;2019;ene;Ainhoa Escudero;Argentina;Producto A;500,00 €;Transferencia bancaria
19/1/2019;2019;ene;Ainhoa Palacios;España;Producto A;500,00 €;Tarjeta de débito
19/1/2019;2019;ene;Ignacio Cruz;Colombia;Producto D;600,00 €;Tarjeta de crédito
20/1/2019;2019;ene;Ignacio Soler;Argentina;Producto A;500,00 €;Transferencia bancaria
20/1/2019;2019;ene;Tamara Jimenez;México;Producto C;200,00 €;Tarjeta de débito
20/1/2019;2019;ene;Tamara Bravo;Colombia;Producto B;350,00 €;Transferencia bancaria
20/1/2019;2019;ene;Rafael Ibañez;España;Producto C;200,00 €;Transferencia bancaria
20/1/2019;2019;ene;Belen Alonso;Argentina;Producto C;200,00 €;Transferencia bancaria
20/1/2019;2019;ene;Belen Ortiz;Colombia;Producto A;500,00 €;Tarjeta de crédito
20/1/2019;2019;ene;Belen Mora;México;Producto A;500,00 €;Transferencia bancaria
20/1/2019;2019;ene;Belen Saenz;Colombia;Producto B;350,00 €;Transferencia bancaria
20/1/2019;2019;ene;Bruno Bravo;Argentina;Producto A;500,00 €;Tarjeta de débito
20/1/2019;2019;ene;Bruno Mariscal;España;Producto B;350,00 €;Transferencia bancaria
20/1/2019;2019;ene;Bruno Tejada;México;Producto A;500,00 €;Transferencia bancaria
21/1/2019;2019;ene;Leticia Torres;Chile;Producto B;350,00 €;Tarjeta de crédito
21/1/2019;2019;ene;Leonardo Laguna;España;Producto A;500,00 €;Transferencia bancaria
21/1/2019;2019;ene;Ruben Martinez;España;Producto B;350,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Ruben Cortes;Colombia;Producto D;600,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Ruben Castillo;México;Producto D;600,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Ruben Rojas;Chile;Producto A;500,00 €;Tarjeta de débito
22/1/2019;2019;ene;Olivia Gil;Colombia;Producto B;350,00 €;Transferencia bancaria
22/1/2019;2019;ene;Olivia Laguna;México;Producto A;500,00 €;Tarjeta de débito
22/1/2019;2019;ene;Diego Ortega;Argentina;Producto D;600,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Diego Santiago;España;Producto B;350,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Juan Martinez;Colombia;Producto B;350,00 €;Transferencia bancaria
22/1/2019;2019;ene;Tobias Redondo;Argentina;Producto A;500,00 €;Tarjeta de crédito
22/1/2019;2019;ene;Tobias Franco;México;Producto D;600,00 €;Transferencia bancaria
22/1/2019;2019;ene;Agustina Rios;Colombia;Producto A;500,00 €;Transferencia bancaria
23/1/2019;2019;ene;Clara Vega;España;Producto C;200,00 €;Tarjeta de débito
23/1/2019;2019;ene;Juan Ramos;Argentina;Producto B;350,00 €;Transferencia bancaria
23/1/2019;2019;ene;Juan Lorenzo;Colombia;Producto B;350,00 €;Tarjeta de débito
23/1/2019;2019;ene;Maria Moreno;México;Producto A;500,00 €;Transferencia bancaria
23/1/2019;2019;ene;Jose Reyes;Colombia;Producto D;600,00 €;Tarjeta de crédito
23/1/2019;2019;ene;Jose Bravo;Argentina;Producto C;200,00 €;Tarjeta de crédito
23/1/2019;2019;ene;Jose Soler;España;Producto A;500,00 €;Tarjeta de débito
23/1/2019;2019;ene;Jose Mariscal;México;Producto A;500,00 €;Transferencia bancaria
23/1/2019;2019;ene;Ana Oliva;Chile;Producto C;200,00 €;Transferencia bancaria
23/1/2019;2019;ene;Pedro Castillo;España;Producto A;500,00 €;Tarjeta de débito
23/1/2019;2019;ene;Laura Ramos;España;Producto D;600,00 €;Transferencia bancaria
23/1/2019;2019;ene;Laura Bermudez;Colombia;Producto D;600,00 €;Tarjeta de crédito
23/1/2019;2019;ene;Laura Soler;México;Producto D;600,00 €;Tarjeta de crédito
23/1/2019;2019;ene;Luis Ruiz;Chile;Producto D;600,00 €;Tarjeta de crédito
23/1/2019;2019;ene;Luis Prieto;Colombia;Producto C;200,00 €;Tarjeta de débito
24/1/2019;2019;ene;Luis Mora;México;Producto B;350,00 €;Transferencia bancaria
24/1/2019;2019;ene;Luis Parra;Argentina;Producto D;600,00 €;Tarjeta de crédito
24/1/2019;2019;ene;Marta Sanchez;España;Producto B;350,00 €;Tarjeta de crédito
24/1/2019;2019;ene;Carlos Perez;Colombia;Producto C;200,00 €;Transferencia bancaria
24/1/2019;2019;ene;Carlos Ortega;Argentina;Producto D;600,00 €;Tarjeta de crédito
24/1/2019;2019;ene;Carlos Santana;México;Producto B;350,00 €;Tarjeta de débito
24/1/2019;2019;ene;Carlos Soria;Colombia;Producto D;600,00 €;Tarjeta de crédito
24/1/2019;2019;ene;Miguel Navarro;España;Producto C;200,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Miguel Nieto;Argentina;Producto D;600,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Miguel Valero;Colombia;Producto D;600,00 €;Tarjeta de débito
25/1/2019;2019;ene;Carmen Lopez;México;Producto A;500,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Carmen Solis;Colombia;Producto B;350,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Carmen Carvajal;Argentina;Producto B;350,00 €;Transferencia bancaria
25/1/2019;2019;ene;Jorge Hernandez;España;Producto C;200,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Jorge Pacheco;México;Producto A;500,00 €;Tarjeta de crédito
25/1/2019;2019;ene;Andres Fernandez;Chile;Producto C;200,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Andres Ortiz;España;Producto B;350,00 €;Tarjeta de débito
26/1/2019;2019;ene;Andres Castillo;España;Producto D;600,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Isabel Escudero;Colombia;Producto B;350,00 €;Transferencia bancaria
26/1/2019;2019;ene;Roberto Lopez;México;Producto C;200,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Roberto Arroyo;Chile;Producto D;600,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Sofia Vazquez;Colombia;Producto C;200,00 €;Transferencia bancaria
26/1/2019;2019;ene;Sofia Ortiz;México;Producto D;600,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Paula Delgado;Argentina;Producto C;200,00 €;Tarjeta de crédito
26/1/2019;2019;ene;Paula Arroyo;España;Producto B;350,00 €;Transferencia bancaria
26/1/2019;2019;ene;Sergio Perez;Colombia;Producto B;350,00 €;Tarjeta de débito
26/1/2019;2019;ene;Sergio Gil;Argentina;Producto B;350,00 €;Transferencia bancaria
26/1/2019;2019;ene;Sergio Molina;México;Producto A;500,00 €;Transferencia bancaria
26/1/2019;2019;ene;Sara Diaz;Colombia;Producto D;600,00 €;Transferencia bancaria
26/1/2019;2019;ene;Sara Izquierdo;España;Producto D;600,00 €;Transferencia bancaria
